filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,reidentification_mean,reidentification_standard_error,reidentification_attack_duration,avg_time_per_reidentification_attack_run,allocated_memory_MiB
MAC000046.csv,7,2012-10-02 to 2012-11-13,524.78,0.10,9.036722,6.456458,0.010037,0.000157,153.111110,0.153111,118.00
MAC000246.csv,0,2011-12-03 to 2012-01-15,517.81,0.10,8.585276,6.066142,0.010037,0.000157,153.111110,0.153111,118.00
MAC000163.csv,3,2012-03-31 to 2012-05-13,539.49,0.20,8.778219,6.140252,0.007513,0.000194,150.174340,0.150174,107.00
MAC000198.csv,7,2012-09-22 to 2012-11-03,301.18,0.20,8.716366,5.732832,0.007513,0.000194,150.174340,0.150174,107.00
MAC000194.csv,9,2012-12-16 to 2013-01-28,773.52,0.60,8.961163,2.544316,0.000000,0.000000,14.798131,0.014798,113.00
MAC000243.csv,5,2012-07-02 to 2012-08-14,492.48,0.60,8.895906,2.493846,0.000000,0.000000,14.798131,0.014798,113.00
MAC000201.csv,5,2012-06-29 to 2012-08-11,338.97,0.80,8.600803,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000024.csv,0,2011-12-07 to 2012-01-19,1212.11,0.90,9.403408,0.065914,0.000000,0.000000,14.839457,0.014839,142.00
MAC000033.csv,2,2012-03-01 to 2012-04-13,366.77,0.30,8.738787,5.599845,0.004938,0.000193,148.197469,0.148197,123.00
MAC000211.csv,5,2012-06-30 to 2012-08-12,443.85,0.50,8.671420,2.163324,0.000000,0.000000,14.832863,0.014833,126.00
MAC000175.csv,2,2012-02-18 to 2012-04-01,338.31,0.70,8.187950,0.835174,0.000000,0.000000,14.794535,0.014795,98.00
MAC000205.csv,8,2012-11-04 to 2012-12-17,559.70,0.70,8.844938,1.640084,0.000000,0.000000,14.794535,0.014795,98.00
MAC000044.csv,8,2012-11-13 to 2012-12-26,702.87,0.90,9.017242,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000244.csv,1,2012-01-14 to 2012-02-25,312.30,0.90,7.855703,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC004539.csv,6,2012-09-02 to 2012-10-15,211.73,0.90,8.058079,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000193.csv,3,2012-04-04 to 2012-05-17,378.59,0.10,8.444243,5.796533,0.010037,0.000157,153.111110,0.153111,118.00
MAC000193.csv,4,2012-05-17 to 2012-06-28,344.95,0.10,8.473807,5.771841,0.010037,0.000157,153.111110,0.153111,118.00
MAC000163.csv,4,2012-05-13 to 2012-06-24,462.85,0.20,8.574610,5.882623,0.007513,0.000194,150.174340,0.150174,107.00
MAC000246.csv,8,2012-11-08 to 2012-12-21,1016.46,0.20,9.368408,7.227119,0.007513,0.000194,150.174340,0.150174,107.00
MAC000258.csv,4,2012-05-24 to 2012-07-05,328.04,0.30,8.426230,5.295190,0.004938,0.000193,148.197469,0.148197,123.00
MAC000158.csv,9,2012-12-12 to 2013-01-23,228.09,0.40,7.703966,2.149232,0.002475,0.000158,147.637229,0.147637,116.00
MAC000170.csv,6,2012-08-07 to 2012-09-19,519.46,0.60,8.779174,1.988108,0.000000,0.000000,14.798131,0.014798,113.00
