filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,asr_mean,asr_standard_error,asr_attack_duration,avg_time_per_attack_run
e158012f-5c69-4a20-9a41-f7acde0e0ddd.csv,5,07/08/2015 to 19/09/2015,12698.00,0.20,3.404971,3.404971,0.009437,0.000170,21.754572,0.021755
c996d9cf-7826-4154-b141-e3e5e5a7b4aa.csv,0,25/01/2017 to 03/03/2017,15643.00,0.30,2.297854,2.297854,0.009425,0.000170,23.054103,0.023054
cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,4,25/06/2015 to 07/08/2015,3327.00,0.30,1.415851,1.415851,0.009425,0.000170,23.054103,0.023054
3fc0af02-ec0a-4572-9824-2b11c6990e4a.csv,9,26/01/2016 to 08/03/2016,3632.00,0.70,2.196292,2.196292,0.009412,0.000171,21.438857,0.021439
8c06e577-095f-4628-8def-3e94a55f2e97.csv,6,18/09/2015 to 31/10/2015,8776.00,0.70,3.116244,3.116244,0.009412,0.000171,21.438857,0.021439
8d2aa3f4-dab3-40e7-873c-af846d4e2a9c.csv,0,01/01/2015 to 12/02/2015,7759.00,0.70,2.936721,2.936721,0.009412,0.000171,21.438857,0.021439
b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,0,01/01/2015 to 12/02/2015,166.00,0.10,0.128135,0.128135,0.009437,0.000170,22.614051,0.022614
09967234-a409-420a-bc5a-1474bb4790f3.csv,8,12/12/2015 to 24/01/2016,15281.00,0.20,4.560696,4.560696,0.009437,0.000170,21.754572,0.021755
8190fe32-38c9-4b89-b97e-b865fde8131d.csv,9,26/01/2016 to 09/03/2016,0.00,0.50,0.000000,0.000000,0.009200,0.000174,23.343575,0.023344
c7f6914b-107e-4a21-b72f-24b473c3e8ec.csv,6,19/09/2015 to 01/11/2015,8239.00,0.60,3.358507,3.358507,0.009150,0.000175,23.235142,0.023235
60db3556-743a-4cc2-975a-4ff4c9ad1a55.csv,7,31/10/2015 to 14/12/2015,11.00,0.70,0.085674,0.085674,0.009412,0.000171,21.438857,0.021439
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,3,14/05/2015 to 27/06/2015,11552.00,0.70,3.772283,3.772283,0.009412,0.000171,21.438857,0.021439
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,2,27/03/2015 to 12/05/2015,2313.00,0.70,0.972571,0.972571,0.009412,0.000171,21.438857,0.021439
80d297a3-aa52-4df0-b22b-a4b3478a4eb8.csv,6,20/09/2015 to 02/11/2015,2219.00,0.80,0.044687,0.044687,0.008738,0.000181,24.874580,0.024875
47da96ed-3d5a-4b11-b273-77ce66a8b3d7.csv,6,19/09/2015 to 31/10/2015,4266.00,0.30,3.411818,3.411818,0.009425,0.000170,23.054103,0.023054
cd2a63c5-e1ab-4000-a286-9628f856af4b.csv,0,01/01/2015 to 12/02/2015,14456.00,0.30,4.162417,4.162417,0.009425,0.000170,23.054103,0.023054
6fffd62f-739b-4202-973d-df2d07470d87.csv,7,01/11/2015 to 14/12/2015,4882.00,0.60,2.480305,2.480305,0.009150,0.000175,23.235142,0.023235
78fd4de9-ba1a-4c8d-8b06-248a97f23867.csv,0,01/01/2015 to 12/02/2015,3431.00,0.70,2.468532,2.468532,0.009412,0.000171,21.438857,0.021439
e14e44b0-1b85-4343-a618-61e92984adfd.csv,5,06/08/2015 to 18/09/2015,8090.00,0.80,4.025555,2.283820,0.008738,0.000181,24.874580,0.024875
4696b54d-8134-4c6b-b5ba-1a3fa77c1279.csv,1,12/02/2015 to 27/03/2015,13703.00,0.90,4.078423,2.222975,0.006550,0.000198,32.411169,0.032411
70879f4e-5141-4cd6-8fc2-ba54fc7e58a5.csv,8,14/12/2015 to 25/01/2016,16532.00,0.90,4.450667,2.213808,0.006550,0.000198,32.411169,0.032411
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,5,06/08/2015 to 18/09/2015,1318.00,0.90,0.677938,0.315326,0.006550,0.000198,32.411169,0.032411
6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,0,01/01/2015 to 13/02/2015,4500.00,0.10,2.639842,2.639842,0.009437,0.000170,22.614051,0.022614
4696b54d-8134-4c6b-b5ba-1a3fa77c1279.csv,9,26/01/2016 to 09/03/2016,5448.00,0.20,2.111941,2.111941,0.009437,0.000170,21.754572,0.021755
fc15a343-5276-4ce0-be8c-34087ae69070.csv,1,12/02/2015 to 27/03/2015,5829.00,0.50,2.808801,2.808801,0.009200,0.000174,23.343575,0.023344
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,6,18/09/2015 to 31/10/2015,4668.00,0.80,2.650348,1.667503,0.008738,0.000181,24.874580,0.024875
