round=0, currententropyreduction=0.3235, record=2211, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2212, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2213, original=0.000837, encryptionratio=0.1000, entropyreductionratio=0.0026, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2214, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2215, original=0.000598, encryptionratio=0.1000, entropyreductionratio=0.0018, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2216, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2217, original=0.000673, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2218, original=0.000678, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2219, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2220, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2221, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2222, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2223, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2224, original=0.000655, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2225, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2226, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2227, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2228, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2229, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2230, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2231, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2232, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
